SR.,FILE NUMBER,CASE NUMBER,RAJACHITHHI NUMBER,RAJACHITHHI ISSUED DATE,T.P SCHEME NUMBER,FINAL PLOT NUMBER,SUB PLOT NUMBER/ TENA NUMBER,BLOCK NUMBER,TOTAL BLOCKS,ADDRESS,PDF OF RAJACHITTHI
1,CC8,BHNTI/WZ/260324/CGDCRV/A8212/R0/M1,05664/260324/A8212/R0/M1,5/13/2024,29 (NARANPURA),436,NA,NA,-,"SINDUR SAMARTHYA, SASTRINAGAR GAURAV PATH ROAD, NARANPURA",https://drive.google.com/open?id=1bK-ptL3Wv6xTcUG4wheRtLW-nU-R5hDG
2,CC9,BHNTS/WZ/010423/CGDCRV/A7316/R0/M1,08530/010423/A7316/R0/M1,06-02-2023,29 (NARANPURA),364 & 367,NA,N+O,,"VANDE MATARAM RAMESHWAR, SOLA ROAD, NARANPURA",https://drive.google.com/open?id=1suvboIPeX26sdlzpyOpSWa-OXZxb4pbe
3,CC12,BHNTS/WZ/220324/CGDCRV/A8210/R0/M1,05691/220324/A8210/R0/M1,5/17/2024,29 (NARANPURA),282,NA,NA,-,"SURVARNNAGAR, ST XAVIER SCHOOL, NARANPURA, GHATLOADIYA",https://drive.google.com/open?id=1ixEvZ7FFJpGRruoZLDABbaDNoXNnQWJC
4,CC13,BHNTS/WZ/280324/CGDCRV/A8229/R0/M1,05669/280324/A8229/R0/M1,5/13/2024,19 (MEMNAGAR),107,NA,NA,-,"SWARA SKY HEIGHTS, PALIYADNAGAR ST XAVIER'S SCHOOL ROAD, NARANPURA",https://drive.google.com/open?id=1yILyxmWndJH6b16HtMdY8OHu_zKvgeco
5,CC14,BHNTS/WZ/140423/CGDCRV/A7547/R1/M1,05762/140423/A7547/R1/M1,07-02-2024,29 (NARANPURA),251,NA,A,"(A), (B)","GANESH LUXURIA OPP. TORRENT POWER, NARANPURA",https://drive.google.com/open?id=1K1aAU2jyifOTTKyoTQDoSP4vrJkUPEw8
6,CC41,BHNTI/WZ/190922/CGDCRV/A6472/R0/M1,07642/190922/A6472/R0/M1,3/23/2023,29 (NARANPURA),405+409,NA,A+B,"(A+B), (C), (D)+ (E+F)","AASTHAA SKYRISE B/H SOLARIS BUSINESS HUB, SOLA ROAD",https://drive.google.com/open?id=1EoY3ZtzjXiJd5qi6QTyKnDETPW1s9BJd
7,CC45,BLNTS/WZ/090423/CGDCRV/A7441/R1/M1,05202/090423/A7441/R1/M1,12-08-2023,29 (NARANPURA),56,1,NA,-,"ATUL APPARTMENTS OWNERS ASSOCIATION, VIJAYNAGAR ROAD, NARANPURA",https://drive.google.com/open?id=1XL4j3eZjdytnd0apRFW26guXLIHvAs7_
8,CC51,BHNTS/WZ/180823/CGDCRV/A7762/R0/M1,05033/180823/A7762/R0/M1,10/16/2023,29 (NARANPURA),518,NA,NA,-,"EKAYA, AEC CROSS ROAD, NARANPURA",https://drive.google.com/open?id=1trBYQX1iO2mwZ0Y6Y4ZT0Rj2tFMh0IbY
9,CC56,BLNTS/WZ/180524/CGDCRV/A8343/R0/M1,05774/180524/A8343/R0/M1,07-05-2024,19 (MEMNAGAR),71,NA,A,(A) & (B+C),"BHAVDEEP CO.OP.HOU.SOC.LTD, NARANPURA",https://drive.google.com/open?id=1jqA3ItBToSHsLXDs39B2aoYj6Mb_wlH8
10,CC56,BLNTI/010324/CGDCRV/A8165/R0/M1,05705/010324/A8165/R0/M1,5/23/2024,29 (NARANPURA),181,A/1+A/2,NA,A/1+A/2,"JANAK APPARTMENT, NARANPURA",https://drive.google.com/open?id=1MyISR357D4_UnMJ8iyw7CK7ziBjBZdYv
